city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Weston,"Fri, Oct 23",65,60,7,86,5,
Weston,"Sat, Oct 24",65,44,9,75,71,0.03
Weston,"Sun, Oct 25",52,37,7,46,60,0.02
Weston,"Mon, Oct 26",58,45,7,92,66,0.06
Weston,"Tue, Oct 27",54,40,7,82,85,0.38
Weston,"Wed, Oct 28",51,39,5,78,48,0.01
Weston,"Thu, Oct 29",58,43,2,66,50,0.06
Weston,"Fri, Oct 30",52,40,6,72,75,0.45
Weston,"Sat, Oct 31",50,32,5,44,3,
Weston,"Sun, Nov 1",54,35,5,65,5,
Weston,"Mon, Nov 2",52,40,11,73,50,0.02
Weston,"Tue, Nov 3",53,41,4,58,5,
Weston,"Wed, Nov 4",47,35,13,45,6,
Weston,"Thu, Nov 5",47,30,11,43,6,
Weston,"Fri, Nov 6",58,37,4,64,6,
Bridgeport,"Fri, Oct 23",65,61,8,84,5,
Bridgeport,"Sat, Oct 24",67,48,9,72,56,0.01
Bridgeport,"Sun, Oct 25",54,40,8,46,60,0.02
Bridgeport,"Mon, Oct 26",62,50,9,85,62,0.07
Bridgeport,"Tue, Oct 27",58,46,9,75,85,0.35
Bridgeport,"Wed, Oct 28",54,44,6,69,50,0.02
Bridgeport,"Thu, Oct 29",58,48,2,60,51,0.07
Bridgeport,"Fri, Oct 30",55,47,7,68,74,0.5
Bridgeport,"Sat, Oct 31",52,38,5,36,4,
Bridgeport,"Sun, Nov 1",55,43,5,60,6,
Bridgeport,"Mon, Nov 2",53,45,15,73,44,0.03
Bridgeport,"Tue, Nov 3",54,46,3,51,5,
Bridgeport,"Wed, Nov 4",49,41,17,43,6,
Bridgeport,"Thu, Nov 5",50,37,16,43,6,
Bridgeport,"Fri, Nov 6",58,45,6,56,6,
Manchester,"Fri, Oct 23",67,58,6,77,5,
Manchester,"Sat, Oct 24",67,47,9,65,66,0.01
Manchester,"Sun, Oct 25",53,38,6,44,5,
Manchester,"Mon, Oct 26",54,44,5,82,65,0.03
Manchester,"Tue, Oct 27",54,39,7,75,87,0.48
Manchester,"Wed, Oct 28",51,36,6,74,50,0.01
Manchester,"Thu, Oct 29",61,41,1,62,51,0.02
Manchester,"Fri, Oct 30",51,41,4,84,84,0.59
Manchester,"Sat, Oct 31",53,33,3,39,5,
Manchester,"Sun, Nov 1",56,34,6,69,5,
Manchester,"Mon, Nov 2",53,41,11,74,52,0.04
Manchester,"Tue, Nov 3",54,42,3,49,5,
Manchester,"Wed, Nov 4",48,34,13,45,48,0.01
Manchester,"Thu, Nov 5",49,32,10,44,6,
Manchester,"Fri, Nov 6",58,37,2,62,6,
Danbury,"Fri, Oct 23",65,60,7,86,5,
Danbury,"Sat, Oct 24",65,43,8,76,76,0.03
Danbury,"Sun, Oct 25",51,35,6,46,59,0.02
Danbury,"Mon, Oct 26",55,42,5,94,62,0.06
Danbury,"Tue, Oct 27",52,38,6,82,85,0.43
Danbury,"Wed, Oct 28",49,37,5,80,47,0.01
Danbury,"Thu, Oct 29",57,40,2,69,51,0.04
Danbury,"Fri, Oct 30",51,39,6,72,73,0.46
Danbury,"Sat, Oct 31",49,30,5,46,3,
Danbury,"Sun, Nov 1",53,33,4,67,5,
Danbury,"Mon, Nov 2",51,39,10,71,54,0.02
Danbury,"Tue, Nov 3",52,39,4,61,5,
Danbury,"Wed, Nov 4",46,34,13,47,6,
Danbury,"Thu, Nov 5",46,30,11,45,6,
Danbury,"Fri, Nov 6",57,36,3,67,6,
New Haven,"Fri, Oct 23",65,61,7,83,5,
New Haven,"Sat, Oct 24",67,49,9,71,58,0.02
New Haven,"Sun, Oct 25",54,40,7,47,59,0.02
New Haven,"Mon, Oct 26",62,47,9,84,63,0.08
New Haven,"Tue, Oct 27",58,44,8,75,85,0.37
New Haven,"Wed, Oct 28",54,42,5,69,53,0.02
