city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Alpena,"Fri, Oct 23",52,39,12,91,99,0.47
Alpena,"Sat, Oct 24",42,32,6,59,45,0.01
Alpena,"Sun, Oct 25",44,33,8,65,57,0.11
Alpena,"Mon, Oct 26",40,30,10,74,62,0.14
Alpena,"Tue, Oct 27",41,28,6,60,40,0.0
Alpena,"Wed, Oct 28",45,31,13,53,59,0.03
Alpena,"Thu, Oct 29",43,38,10,61,41,0.03
Alpena,"Fri, Oct 30",40,33,7,52,40,0.01
Alpena,"Sat, Oct 31",47,36,15,51,6,
Alpena,"Sun, Nov 1",46,40,15,89,71,0.15
Alpena,"Mon, Nov 2",46,38,7,64,4,
Alpena,"Tue, Nov 3",47,37,14,64,55,0.01
Alpena,"Wed, Nov 4",42,34,11,52,6,
Alpena,"Thu, Nov 5",48,37,11,58,6,
Alpena,"Fri, Nov 6",50,43,9,81,48,0.02
Howell,"Fri, Oct 23",72,44,14,81,80,0.14
Howell,"Sat, Oct 24",46,33,7,58,4,
Howell,"Sun, Oct 25",48,32,7,55,5,
Howell,"Mon, Oct 26",47,37,8,65,58,0.01
Howell,"Tue, Oct 27",42,32,5,66,6,
Howell,"Wed, Oct 28",49,30,11,50,5,
Howell,"Thu, Oct 29",50,35,7,64,6,
Howell,"Fri, Oct 30",47,31,9,51,6,
Howell,"Sat, Oct 31",52,33,12,52,4,
Howell,"Sun, Nov 1",45,38,6,94,61,0.21
Howell,"Mon, Nov 2",52,38,3,67,6,
Howell,"Tue, Nov 3",53,35,12,66,6,
Howell,"Wed, Nov 4",50,31,9,49,6,
Howell,"Thu, Nov 5",56,33,16,46,6,
Howell,"Fri, Nov 6",57,41,8,71,6,
Pontiac,"Fri, Oct 23",74,45,14,75,53,0.08
Pontiac,"Sat, Oct 24",46,36,7,58,5,
Pontiac,"Sun, Oct 25",48,35,8,55,6,
Pontiac,"Mon, Oct 26",48,39,8,62,58,0.02
Pontiac,"Tue, Oct 27",44,33,5,64,56,0.01
Pontiac,"Wed, Oct 28",48,33,11,53,5,
Pontiac,"Thu, Oct 29",52,38,7,56,6,
Pontiac,"Fri, Oct 30",48,34,8,46,6,
Pontiac,"Sat, Oct 31",52,35,11,47,4,
Pontiac,"Sun, Nov 1",47,40,5,82,58,0.19
Pontiac,"Mon, Nov 2",52,40,2,61,39,0.0
Pontiac,"Tue, Nov 3",53,38,11,60,6,
Pontiac,"Wed, Nov 4",50,34,9,40,6,
Pontiac,"Thu, Nov 5",54,36,15,40,6,
Pontiac,"Fri, Nov 6",56,41,7,69,6,
Ann Arbor,"Fri, Oct 23",74,45,16,75,60,0.06
Ann Arbor,"Sat, Oct 24",47,35,8,55,4,
Ann Arbor,"Sun, Oct 25",49,32,9,58,6,
Ann Arbor,"Mon, Oct 26",48,38,8,63,64,0.05
Ann Arbor,"Tue, Oct 27",43,33,7,68,51,0.02
Ann Arbor,"Wed, Oct 28",49,28,11,53,5,
Ann Arbor,"Thu, Oct 29",52,33,8,64,6,
Ann Arbor,"Fri, Oct 30",49,30,9,51,6,
Ann Arbor,"Sat, Oct 31",52,32,11,54,3,
Ann Arbor,"Sun, Nov 1",48,35,7,87,63,0.19
Ann Arbor,"Mon, Nov 2",52,35,3,66,40,0.0
Ann Arbor,"Tue, Nov 3",54,35,12,63,6,
Ann Arbor,"Wed, Nov 4",51,30,9,50,6,
Ann Arbor,"Thu, Nov 5",56,30,17,47,6,
Ann Arbor,"Fri, Nov 6",57,38,10,70,6,
Iron Mountain,"Fri, Oct 23",38,29,13,78,74,0.08
Iron Mountain,"Sat, Oct 24",35,26,9,62,6,
Iron Mountain,"Sun, Oct 25",36,25,5,74,59,
Iron Mountain,"Mon, Oct 26",35,18,8,59,58,
Iron Mountain,"Tue, Oct 27",33,15,9,49,6,
Iron Mountain,"Wed, Oct 28",38,25,12,72,43,0.01
Iron Mountain,"Thu, Oct 29",38,27,5,70,38,
Iron Mountain,"Fri, Oct 30",43,26,5,74,6,
Iron Mountain,"Sat, Oct 31",45,27,10,75,6,
Iron Mountain,"Sun, Nov 1",40,26,10,76,6,
Iron Mountain,"Mon, Nov 2",48,27,9,57,6,
Iron Mountain,"Tue, Nov 3",41,28,11,65,6,
Iron Mountain,"Wed, Nov 4",42,27,4,48,6,
Iron Mountain,"Thu, Nov 5",50,31,4,71,6,
Iron Mountain,"Fri, Nov 6",51,31,3,73,6,
Port Huron,"Fri, Oct 23",71,45,13,75,71,0.09
Port Huron,"Sat, Oct 24",45,38,9,66,5,
Port Huron,"Sun, Oct 25",48,34,8,54,6,
Port Huron,"Mon, Oct 26",49,39,8,60,51,0.02
Port Huron,"Tue, Oct 27",44,35,6,62,65,0.07
Port Huron,"Wed, Oct 28",48,31,10,54,6,
Port Huron,"Thu, Oct 29",51,36,9,65,46,0.01
Port Huron,"Fri, Oct 30",46,36,10,54,55,0.03
Port Huron,"Sat, Oct 31",51,31,14,57,5,
Port Huron,"Sun, Nov 1",48,40,6,84,63,0.17
Port Huron,"Mon, Nov 2",49,40,4,73,54,0.01
Port Huron,"Tue, Nov 3",53,38,12,65,52,0.02
Port Huron,"Wed, Nov 4",46,33,12,50,6,
Port Huron,"Thu, Nov 5",54,34,16,47,6,
Port Huron,"Fri, Nov 6",54,40,10,74,48,0.0
Big Rapids,"Fri, Oct 23",61,39,9,90,92,0.48
Big Rapids,"Sat, Oct 24",43,33,6,67,41,0.0
Big Rapids,"Sun, Oct 25",45,32,5,60,57,0.02
Big Rapids,"Mon, Oct 26",40,28,8,75,59,0.02
Big Rapids,"Tue, Oct 27",41,26,7,58,44,0.0
Big Rapids,"Wed, Oct 28",44,30,13,60,62,0.15
Big Rapids,"Thu, Oct 29",47,33,8,52,6,
Big Rapids,"Fri, Oct 30",43,30,7,63,6,
Big Rapids,"Sat, Oct 31",50,33,14,48,5,
Big Rapids,"Sun, Nov 1",45,36,12,81,62,0.12
Big Rapids,"Mon, Nov 2",51,33,8,63,5,
Big Rapids,"Tue, Nov 3",47,33,12,66,6,
Big Rapids,"Wed, Nov 4",47,31,8,49,6,
Big Rapids,"Thu, Nov 5",53,34,15,56,6,
Big Rapids,"Fri, Nov 6",54,37,8,91,54,0.02
Ironwood,"Fri, Oct 23",33,28,9,88,84,
Ironwood,"Sat, Oct 24",28,20,8,77,43,
Ironwood,"Sun, Oct 25",30,23,6,85,60,
Ironwood,"Mon, Oct 26",26,14,8,75,51,
Ironwood,"Tue, Oct 27",27,12,12,64,6,
Ironwood,"Wed, Oct 28",35,23,12,90,51,0.01
Ironwood,"Thu, Oct 29",35,24,4,88,48,0.01
Ironwood,"Fri, Oct 30",40,23,8,93,40,0.01
Ironwood,"Sat, Oct 31",43,29,9,98,52,0.03
Ironwood,"Sun, Nov 1",39,28,5,87,54,0.03
Ironwood,"Mon, Nov 2",46,29,12,75,5,
