city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Altus,"Fri, Oct 23",56,41,17,44,82,0.05
Altus,"Sat, Oct 24",61,33,10,39,1,
Altus,"Sun, Oct 25",72,43,16,48,44,0.02
Altus,"Mon, Oct 26",40,28,22,64,52,0.06
Altus,"Tue, Oct 27",36,26,10,66,65,0.29
Altus,"Wed, Oct 28",47,31,4,70,87,0.32
Altus,"Thu, Oct 29",61,30,9,52,3,
Altus,"Fri, Oct 30",63,35,4,50,4,
Altus,"Sat, Oct 31",69,41,15,44,3,
Altus,"Sun, Nov 1",66,44,13,42,4,
Altus,"Mon, Nov 2",66,45,12,46,5,
Altus,"Tue, Nov 3",67,46,3,43,5,
Altus,"Wed, Nov 4",68,46,6,50,5,
Altus,"Thu, Nov 5",69,46,15,38,4,
Altus,"Fri, Nov 6",74,50,13,52,82,0.09
Guthrie,"Fri, Oct 23",50,38,9,60,6,
Guthrie,"Sat, Oct 24",56,32,8,50,1,
Guthrie,"Sun, Oct 25",58,42,7,78,58,0.05
Guthrie,"Mon, Oct 26",40,27,11,83,74,0.09
Guthrie,"Tue, Oct 27",36,24,6,75,59,0.1
Guthrie,"Wed, Oct 28",50,29,6,65,71,0.19
Guthrie,"Thu, Oct 29",55,34,12,65,5,
Guthrie,"Fri, Oct 30",62,38,6,47,3,
Guthrie,"Sat, Oct 31",67,43,16,48,3,
Guthrie,"Sun, Nov 1",64,45,12,40,4,
Guthrie,"Mon, Nov 2",64,47,11,36,4,
Guthrie,"Tue, Nov 3",65,47,7,45,5,
Guthrie,"Wed, Nov 4",66,48,8,34,3,
Guthrie,"Thu, Nov 5",67,50,17,50,4,
Guthrie,"Fri, Nov 6",70,52,13,56,48,0.04
Oklahoma City,"Fri, Oct 23",56,42,17,61,67,0.33
Oklahoma City,"Sat, Oct 24",56,35,7,50,1,
Oklahoma City,"Sun, Oct 25",61,45,10,74,54,0.04
Oklahoma City,"Mon, Oct 26",42,28,22,82,73,0.3
Oklahoma City,"Tue, Oct 27",36,26,10,78,56,0.24
Oklahoma City,"Wed, Oct 28",47,30,5,77,89,0.37
Oklahoma City,"Thu, Oct 29",54,32,11,68,5,
Oklahoma City,"Fri, Oct 30",59,37,6,54,4,
Oklahoma City,"Sat, Oct 31",64,43,16,51,3,
Oklahoma City,"Sun, Nov 1",62,45,12,44,4,
Oklahoma City,"Mon, Nov 2",63,46,11,37,4,
Oklahoma City,"Tue, Nov 3",63,46,6,47,4,
Oklahoma City,"Wed, Nov 4",64,47,7,38,3,
Oklahoma City,"Thu, Nov 5",66,47,17,52,4,
Oklahoma City,"Fri, Nov 6",71,49,14,59,40,0.03
McAlester,"Fri, Oct 23",72,46,14,71,69,0.24
McAlester,"Sat, Oct 24",55,42,6,67,5,
McAlester,"Sun, Oct 25",64,51,7,75,58,0.11
McAlester,"Mon, Oct 26",54,36,17,83,99,1.26
McAlester,"Tue, Oct 27",40,34,11,80,80,0.36
McAlester,"Wed, Oct 28",51,38,8,82,91,1.56
McAlester,"Thu, Oct 29",59,41,8,70,60,0.06
McAlester,"Fri, Oct 30",68,43,2,54,3,
McAlester,"Sat, Oct 31",66,47,7,50,3,
McAlester,"Sun, Nov 1",66,45,9,55,4,
McAlester,"Mon, Nov 2",67,46,3,37,4,
McAlester,"Tue, Nov 3",67,46,3,55,5,
McAlester,"Wed, Nov 4",68,47,5,49,3,
McAlester,"Thu, Nov 5",68,49,10,62,4,
