city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Anderson,"Fri, Oct 23",79,63,5,61,40,0.0
Anderson,"Sat, Oct 24",79,61,7,62,69,0.18
Anderson,"Sun, Oct 25",74,63,5,74,77,0.11
Anderson,"Mon, Oct 26",74,63,5,76,54,0.08
Anderson,"Tue, Oct 27",80,60,5,64,6,
Anderson,"Wed, Oct 28",77,63,6,68,51,0.01
Anderson,"Thu, Oct 29",77,64,5,89,99,1.47
Anderson,"Fri, Oct 30",74,56,10,57,6,
Anderson,"Sat, Oct 31",64,49,11,58,4,
Anderson,"Sun, Nov 1",64,49,3,63,6,
Anderson,"Mon, Nov 2",64,45,10,52,5,
Anderson,"Tue, Nov 3",65,43,8,60,4,
Anderson,"Wed, Nov 4",65,43,3,48,4,
Anderson,"Thu, Nov 5",62,39,4,49,3,
Anderson,"Fri, Nov 6",64,41,5,52,2,
Florence,"Fri, Oct 23",80,63,7,59,5,
Florence,"Sat, Oct 24",81,62,6,58,6,
Florence,"Sun, Oct 25",78,65,8,62,90,0.34
Florence,"Mon, Oct 26",79,64,6,62,5,
Florence,"Tue, Oct 27",84,63,5,57,5,
Florence,"Wed, Oct 28",83,66,5,67,60,0.06
Florence,"Thu, Oct 29",79,69,10,88,99,1.44
Florence,"Fri, Oct 30",73,63,13,82,6,
Florence,"Sat, Oct 31",65,54,14,59,6,
Florence,"Sun, Nov 1",65,52,5,80,69,0.3
Florence,"Mon, Nov 2",65,48,11,70,58,0.03
Florence,"Tue, Nov 3",67,45,5,50,4,
Florence,"Wed, Nov 4",67,45,7,51,5,
Florence,"Thu, Nov 5",63,43,2,34,3,
Florence,"Fri, Nov 6",70,44,3,43,2,
North Myrtle Beach,"Fri, Oct 23",79,67,6,67,50,0.02
North Myrtle Beach,"Sat, Oct 24",79,65,8,71,4,
North Myrtle Beach,"Sun, Oct 25",76,65,8,77,78,0.21
North Myrtle Beach,"Mon, Oct 26",77,66,7,73,6,
North Myrtle Beach,"Tue, Oct 27",80,68,7,74,42,0.02
North Myrtle Beach,"Wed, Oct 28",81,72,11,80,53,0.03
North Myrtle Beach,"Thu, Oct 29",75,71,9,93,91,1.14
North Myrtle Beach,"Fri, Oct 30",75,60,11,83,54,0.17
North Myrtle Beach,"Sat, Oct 31",67,54,15,67,40,0.01
North Myrtle Beach,"Sun, Nov 1",64,54,10,89,61,0.25
North Myrtle Beach,"Mon, Nov 2",64,53,16,72,64,0.21
North Myrtle Beach,"Tue, Nov 3",66,48,7,61,4,
North Myrtle Beach,"Wed, Nov 4",66,48,10,54,6,
North Myrtle Beach,"Thu, Nov 5",63,43,3,62,3,
North Myrtle Beach,"Fri, Nov 6",68,48,3,51,3,
Charleston,"Fri, Oct 23",79,69,8,72,60,0.02
Charleston,"Sat, Oct 24",80,66,7,68,5,
Charleston,"Sun, Oct 25",79,68,8,74,64,0.06
Charleston,"Mon, Oct 26",79,69,8,74,5,
Charleston,"Tue, Oct 27",83,68,8,72,54,0.05
Charleston,"Wed, Oct 28",83,72,9,75,53,0.03
Charleston,"Thu, Oct 29",81,74,13,82,94,0.63
Charleston,"Fri, Oct 30",82,63,6,51,41,0.02
Charleston,"Sat, Oct 31",67,61,12,65,6,
Charleston,"Sun, Nov 1",68,56,9,86,55,0.2
Charleston,"Mon, Nov 2",67,52,12,57,44,0.01
Charleston,"Tue, Nov 3",70,50,6,50,4,
Charleston,"Wed, Nov 4",70,50,2,47,6,
Charleston,"Thu, Nov 5",68,49,5,40,3,
Charleston,"Fri, Nov 6",70,50,3,36,2,
Greenville,"Fri, Oct 23",78,64,6,62,46,0.02
Greenville,"Sat, Oct 24",80,63,7,61,70,0.31
Greenville,"Sun, Oct 25",72,64,6,77,82,0.2
Greenville,"Mon, Oct 26",72,62,5,80,51,0.07
Greenville,"Tue, Oct 27",79,62,7,64,6,
Greenville,"Wed, Oct 28",78,63,6,67,53,0.0
Greenville,"Thu, Oct 29",73,64,2,97,99,1.7
Greenville,"Fri, Oct 30",72,55,9,56,6,
Greenville,"Sat, Oct 31",61,49,11,60,3,
Greenville,"Sun, Nov 1",61,47,3,63,6,
Greenville,"Mon, Nov 2",62,46,12,55,7,
Greenville,"Tue, Nov 3",64,45,7,58,4,
Greenville,"Wed, Nov 4",64,45,11,46,4,
Greenville,"Thu, Nov 5",60,41,5,49,4,
Greenville,"Fri, Nov 6",62,42,4,51,2,
Spartanburg,"Fri, Oct 23",78,62,5,60,43,0.01
Spartanburg,"Sat, Oct 24",79,60,6,59,99,0.45
Spartanburg,"Sun, Oct 25",72,63,5,74,92,0.36
Spartanburg,"Mon, Oct 26",71,60,4,77,56,0.05
Spartanburg,"Tue, Oct 27",78,61,5,63,6,
Spartanburg,"Wed, Oct 28",76,60,5,69,52,0.02
Spartanburg,"Thu, Oct 29",73,62,2,98,99,1.33
Spartanburg,"Fri, Oct 30",71,54,9,54,7,
Spartanburg,"Sat, Oct 31",60,47,10,55,3,
Spartanburg,"Sun, Nov 1",61,45,2,58,7,
Spartanburg,"Mon, Nov 2",63,45,9,54,7,
Spartanburg,"Tue, Nov 3",63,43,7,54,4,
Spartanburg,"Wed, Nov 4",64,43,4,46,5,
Spartanburg,"Thu, Nov 5",59,38,5,47,3,
Spartanburg,"Fri, Nov 6",62,42,4,49,2,
Clemson,"Fri, Oct 23",77,63,4,63,53,0.02
Clemson,"Sat, Oct 24",78,62,6,65,73,0.24
Clemson,"Sun, Oct 25",72,64,5,76,75,0.1
Clemson,"Mon, Oct 26",72,62,4,80,58,0.13
Clemson,"Tue, Oct 27",78,60,5,66,6,
Clemson,"Wed, Oct 28",76,62,6,71,52,0.0
Clemson,"Thu, Oct 29",75,64,3,92,99,1.82
Clemson,"Fri, Oct 30",74,55,7,52,6,
Clemson,"Sat, Oct 31",64,49,10,57,3,
Clemson,"Sun, Nov 1",62,48,2,65,6,
Clemson,"Mon, Nov 2",66,45,8,49,5,
Clemson,"Tue, Nov 3",66,42,7,57,4,
Clemson,"Wed, Nov 4",66,43,3,48,4,
Clemson,"Thu, Nov 5",62,40,4,47,4,
Clemson,"Fri, Nov 6",64,41,3,47,2,
Kingstree,"Fri, Oct 23",80,63,7,62,4,
Kingstree,"Sat, Oct 24",81,62,5,61,42,0.01
Kingstree,"Sun, Oct 25",78,65,7,66,79,0.28
Kingstree,"Mon, Oct 26",80,64,5,66,5,
Kingstree,"Tue, Oct 27",83,64,5,63,5,
Kingstree,"Wed, Oct 28",84,67,8,69,55,0.07
Kingstree,"Thu, Oct 29",77,68,7,91,99,2.0
Kingstree,"Fri, Oct 30",74,59,13,80,40,0.02
Kingstree,"Sat, Oct 31",65,53,14,63,6,
Kingstree,"Sun, Nov 1",60,51,8,84,58,0.12
Kingstree,"Mon, Nov 2",61,47,12,70,49,0.03
Kingstree,"Tue, Nov 3",66,44,5,54,4,
Kingstree,"Wed, Nov 4",66,44,6,55,5,
Kingstree,"Thu, Nov 5",62,42,3,37,3,
Kingstree,"Fri, Nov 6",69,44,1,39,2,
Summerville,"Fri, Oct 23",80,67,6,67,52,0.02
Summerville,"Sat, Oct 24",82,64,6,61,5,
Summerville,"Sun, Oct 25",79,66,6,70,66,0.07
Summerville,"Mon, Oct 26",81,66,5,66,6,
Summerville,"Tue, Oct 27",84,65,5,64,52,0.05
Summerville,"Wed, Oct 28",84,70,7,70,89,0.17
Summerville,"Thu, Oct 29",80,73,9,82,96,0.68
Summerville,"Fri, Oct 30",80,62,7,64,6,
Summerville,"Sat, Oct 31",67,59,9,66,48,0.01
Summerville,"Sun, Nov 1",67,55,7,85,55,0.11
Summerville,"Mon, Nov 2",66,51,11,63,43,0.0
Summerville,"Tue, Nov 3",69,49,5,54,4,
Summerville,"Wed, Nov 4",69,49,5,50,5,
Summerville,"Thu, Nov 5",67,47,4,40,3,
Summerville,"Fri, Nov 6",70,48,1,37,2,
Columbia,"Fri, Oct 23",81,64,5,56,6,
Columbia,"Sat, Oct 24",82,63,5,56,51,0.07
Columbia,"Sun, Oct 25",78,66,5,64,88,0.49
Columbia,"Mon, Oct 26",78,64,4,65,6,
Columbia,"Tue, Oct 27",84,63,5,57,4,
Columbia,"Wed, Oct 28",83,67,4,63,67,0.28
Columbia,"Thu, Oct 29",79,70,11,82,99,1.33
Columbia,"Fri, Oct 30",75,63,12,67,6,
Columbia,"Sat, Oct 31",68,55,11,47,6,
Columbia,"Sun, Nov 1",65,50,5,79,61,0.16
Columbia,"Mon, Nov 2",66,49,10,56,6,
Columbia,"Tue, Nov 3",69,47,5,43,4,
Columbia,"Wed, Nov 4",69,47,6,46,4,
Columbia,"Thu, Nov 5",66,44,2,31,3,
Columbia,"Fri, Nov 6",69,47,3,36,2,
Myrtle Beach,"Fri, Oct 23",78,67,7,70,47,0.01
Myrtle Beach,"Sat, Oct 24",78,65,7,72,4,
Myrtle Beach,"Sun, Oct 25",75,67,8,77,87,0.35
Myrtle Beach,"Mon, Oct 26",76,66,7,75,6,
Myrtle Beach,"Tue, Oct 27",79,67,7,76,6,
Myrtle Beach,"Wed, Oct 28",80,71,10,79,51,0.03
Myrtle Beach,"Thu, Oct 29",78,74,10,88,91,0.91
Myrtle Beach,"Fri, Oct 30",79,61,11,78,46,0.09
Myrtle Beach,"Sat, Oct 31",68,56,14,67,44,0.02
Myrtle Beach,"Sun, Nov 1",65,55,10,87,70,0.3
Myrtle Beach,"Mon, Nov 2",65,53,16,66,64,0.17
Myrtle Beach,"Tue, Nov 3",68,49,7,58,4,
Myrtle Beach,"Wed, Nov 4",68,49,9,52,5,
Myrtle Beach,"Thu, Nov 5",65,46,3,60,3,
Myrtle Beach,"Fri, Nov 6",70,50,3,47,3,
Taylors,"Fri, Oct 23",78,63,6,62,40,0.01
Taylors,"Sat, Oct 24",80,62,7,61,88,0.35
Taylors,"Sun, Oct 25",72,63,6,77,81,0.21
Taylors,"Mon, Oct 26",71,60,5,81,50,0.06
Taylors,"Tue, Oct 27",79,61,7,65,39,0.01
Taylors,"Wed, Oct 28",76,61,6,69,53,0.01
Taylors,"Thu, Oct 29",73,64,3,97,99,1.67
Taylors,"Fri, Oct 30",72,54,8,55,6,
Taylors,"Sat, Oct 31",61,49,11,60,3,
Taylors,"Sun, Nov 1",61,47,3,63,6,
Taylors,"Mon, Nov 2",62,46,11,55,7,
Taylors,"Tue, Nov 3",64,44,6,56,4,
Taylors,"Wed, Nov 4",64,45,12,46,4,
Taylors,"Thu, Nov 5",59,40,5,49,4,
Taylors,"Fri, Nov 6",62,42,4,50,2,
