city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Alcoa,"Fri, Oct 23",78,59,7,61,5,
Alcoa,"Sat, Oct 24",69,60,7,80,79,0.35
Alcoa,"Sun, Oct 25",73,58,6,73,54,0.05
Alcoa,"Mon, Oct 26",77,62,8,69,52,0.11
Alcoa,"Tue, Oct 27",74,62,8,76,63,0.17
Alcoa,"Wed, Oct 28",70,57,6,76,50,0.01
Alcoa,"Thu, Oct 29",70,62,6,95,95,1.13
Alcoa,"Fri, Oct 30",64,49,10,58,47,0.01
Alcoa,"Sat, Oct 31",65,42,3,52,5,
Alcoa,"Sun, Nov 1",59,47,5,71,52,0.08
Alcoa,"Mon, Nov 2",62,46,7,69,46,0.01
Alcoa,"Tue, Nov 3",62,42,3,50,5,
Alcoa,"Wed, Nov 4",62,42,9,54,5,
Alcoa,"Thu, Nov 5",61,35,7,51,3,
Alcoa,"Fri, Nov 6",61,37,5,51,3,
Dyersburg,"Fri, Oct 23",80,49,10,74,90,0.33
Dyersburg,"Sat, Oct 24",51,46,7,82,6,
Dyersburg,"Sun, Oct 25",59,49,5,89,6,
Dyersburg,"Mon, Oct 26",58,48,10,91,69,0.18
Dyersburg,"Tue, Oct 27",49,44,9,90,84,0.3
Dyersburg,"Wed, Oct 28",61,42,7,80,59,0.04
Dyersburg,"Thu, Oct 29",58,46,14,73,65,0.22
Dyersburg,"Fri, Oct 30",64,44,11,57,3,
Dyersburg,"Sat, Oct 31",66,44,6,53,4,
Dyersburg,"Sun, Nov 1",66,46,12,64,5,
Dyersburg,"Mon, Nov 2",61,45,6,56,4,
Dyersburg,"Tue, Nov 3",61,46,6,54,4,
Dyersburg,"Wed, Nov 4",61,47,9,53,3,
Dyersburg,"Thu, Nov 5",62,40,9,45,2,
Dyersburg,"Fri, Nov 6",63,41,10,51,2,
Nashville,"Fri, Oct 23",84,61,9,59,86,0.13
Nashville,"Sat, Oct 24",58,52,8,76,54,0.03
Nashville,"Sun, Oct 25",67,53,5,72,6,
Nashville,"Mon, Oct 26",69,58,7,73,64,0.07
Nashville,"Tue, Oct 27",61,53,7,72,69,0.05
Nashville,"Wed, Oct 28",66,52,6,68,50,0.01
Nashville,"Thu, Oct 29",63,57,12,91,99,1.76
Nashville,"Fri, Oct 30",65,49,9,54,4,
Nashville,"Sat, Oct 31",65,46,3,41,4,
Nashville,"Sun, Nov 1",66,50,10,47,51,0.01
Nashville,"Mon, Nov 2",64,45,5,67,5,
Nashville,"Tue, Nov 3",65,46,4,42,4,
Nashville,"Wed, Nov 4",64,47,9,41,4,
Nashville,"Thu, Nov 5",65,45,7,42,2,
Nashville,"Fri, Nov 6",65,45,7,51,3,
Bristol,"Fri, Oct 23",76,55,6,57,6,
Bristol,"Sat, Oct 24",66,59,6,80,81,0.2
Bristol,"Sun, Oct 25",72,58,6,68,63,0.18
Bristol,"Mon, Oct 26",73,57,7,67,46,0.03
Bristol,"Tue, Oct 27",69,60,7,74,65,0.1
Bristol,"Wed, Oct 28",67,55,6,72,47,0.0
Bristol,"Thu, Oct 29",66,58,3,97,92,0.92
Bristol,"Fri, Oct 30",60,44,7,67,50,0.02
Bristol,"Sat, Oct 31",65,35,1,47,3,
Bristol,"Sun, Nov 1",56,38,4,74,64,0.19
Bristol,"Mon, Nov 2",57,44,7,74,59,0.1
Bristol,"Tue, Nov 3",58,38,2,64,6,
Bristol,"Wed, Nov 4",58,38,6,60,41,0.01
Bristol,"Thu, Nov 5",57,30,6,43,3,
Bristol,"Fri, Nov 6",60,38,4,52,3,
Knoxville,"Fri, Oct 23",78,58,6,61,42,0.02
Knoxville,"Sat, Oct 24",68,59,6,79,85,0.35
Knoxville,"Sun, Oct 25",73,58,6,71,54,0.03
Knoxville,"Mon, Oct 26",76,62,8,68,57,0.09
Knoxville,"Tue, Oct 27",72,60,8,76,67,0.22
Knoxville,"Wed, Oct 28",69,58,6,75,53,0.01
Knoxville,"Thu, Oct 29",69,63,7,91,93,1.02
Knoxville,"Fri, Oct 30",64,50,10,52,48,0.01
Knoxville,"Sat, Oct 31",65,45,3,45,4,
Knoxville,"Sun, Nov 1",60,50,6,67,52,0.06
Knoxville,"Mon, Nov 2",61,48,8,60,46,0.01
Knoxville,"Tue, Nov 3",62,46,2,45,5,
Knoxville,"Wed, Nov 4",62,46,8,51,5,
Knoxville,"Thu, Nov 5",61,39,7,44,3,
Knoxville,"Fri, Nov 6",61,41,5,47,3,
New Tazewell,"Fri, Oct 23",75,53,6,68,49,0.04
New Tazewell,"Sat, Oct 24",63,55,6,85,83,0.27
New Tazewell,"Sun, Oct 25",70,55,5,76,49,0.0
