city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Nacogdoches,"Fri, Oct 23",79,57,7,81,90,0.13
Nacogdoches,"Sat, Oct 24",61,53,6,84,45,0.01
Nacogdoches,"Sun, Oct 25",75,55,9,78,6,
Nacogdoches,"Mon, Oct 26",77,56,8,81,47,0.03
Nacogdoches,"Tue, Oct 27",60,52,8,94,47,0.02
Nacogdoches,"Wed, Oct 28",61,49,8,93,82,0.71
Nacogdoches,"Thu, Oct 29",67,48,8,71,46,0.02
Nacogdoches,"Fri, Oct 30",68,48,6,56,4,
Nacogdoches,"Sat, Oct 31",70,47,4,47,2,
Nacogdoches,"Sun, Nov 1",73,50,5,58,4,
Nacogdoches,"Mon, Nov 2",73,49,4,45,3,
Nacogdoches,"Tue, Nov 3",73,49,2,44,3,
Nacogdoches,"Wed, Nov 4",73,49,5,61,4,
Nacogdoches,"Thu, Nov 5",73,49,3,43,3,
Nacogdoches,"Fri, Nov 6",74,50,5,49,5,
Abilene,"Fri, Oct 23",71,46,17,64,2,
Abilene,"Sat, Oct 24",67,38,8,38,1,
Abilene,"Sun, Oct 25",89,54,15,31,5,
Abilene,"Mon, Oct 26",49,32,19,79,67,0.16
Abilene,"Tue, Oct 27",37,30,13,80,84,0.06
Abilene,"Wed, Oct 28",46,35,7,92,87,1.09
Abilene,"Thu, Oct 29",63,39,7,42,3,
Abilene,"Fri, Oct 30",65,43,5,49,3,
Abilene,"Sat, Oct 31",71,47,11,40,3,
Abilene,"Sun, Nov 1",69,51,14,52,4,
Abilene,"Mon, Nov 2",69,52,7,48,4,
Abilene,"Tue, Nov 3",71,52,8,42,4,
Abilene,"Wed, Nov 4",71,52,7,44,5,
Abilene,"Thu, Nov 5",72,52,13,35,4,
Abilene,"Fri, Nov 6",76,54,16,50,6,
Granbury,"Fri, Oct 23",74,48,16,76,60,0.22
Granbury,"Sat, Oct 24",61,44,6,51,3,
Granbury,"Sun, Oct 25",83,55,14,51,6,
Granbury,"Mon, Oct 26",69,37,16,80,69,0.2
Granbury,"Tue, Oct 27",41,35,12,78,90,0.89
Granbury,"Wed, Oct 28",47,36,12,85,97,1.95
Granbury,"Thu, Oct 29",63,37,11,44,5,
Granbury,"Fri, Oct 30",66,42,6,50,3,
Granbury,"Sat, Oct 31",69,44,8,51,3,
Granbury,"Sun, Nov 1",73,51,10,56,4,
Granbury,"Mon, Nov 2",73,51,4,39,3,
Granbury,"Tue, Nov 3",74,51,6,49,4,
Granbury,"Wed, Nov 4",74,51,6,55,4,
Granbury,"Thu, Nov 5",74,51,10,53,4,
Granbury,"Fri, Nov 6",75,53,13,65,50,0.01
Odessa,"Fri, Oct 23",68,46,14,47,1,
Odessa,"Sat, Oct 24",71,38,11,35,1,
Odessa,"Sun, Oct 25",88,55,15,18,4,
Odessa,"Mon, Oct 26",54,31,15,53,46,0.02
Odessa,"Tue, Oct 27",39,29,10,62,75,0.43
Odessa,"Wed, Oct 28",57,34,7,51,86,0.29
Odessa,"Thu, Oct 29",69,36,5,24,2,
Odessa,"Fri, Oct 30",69,42,9,26,2,
Odessa,"Sat, Oct 31",75,46,13,33,3,
Odessa,"Sun, Nov 1",69,48,18,38,4,
Odessa,"Mon, Nov 2",70,48,13,41,5,
Odessa,"Tue, Nov 3",71,50,12,39,4,
Odessa,"Wed, Nov 4",72,50,14,43,5,
Odessa,"Thu, Nov 5",72,50,20,42,4,
Odessa,"Fri, Nov 6",80,50,12,19,5,
Amarillo,"Fri, Oct 23",49,34,16,42,1,
Amarillo,"Sat, Oct 24",72,30,21,30,1,
Amarillo,"Sun, Oct 25",60,30,23,42,6,
Amarillo,"Mon, Oct 26",27,21,18,75,58,
Amarillo,"Tue, Oct 27",39,21,7,72,61,0.01
Amarillo,"Wed, Oct 28",51,28,8,70,6,
Amarillo,"Thu, Oct 29",61,34,4,38,2,
Amarillo,"Fri, Oct 30",68,36,15,28,3,
Amarillo,"Sat, Oct 31",74,41,18,23,3,
Amarillo,"Sun, Nov 1",68,40,8,28,4,
Amarillo,"Mon, Nov 2",68,40,16,30,4,
Amarillo,"Tue, Nov 3",68,43,12,27,5,
Amarillo,"Wed, Nov 4",69,43,13,39,5,
Amarillo,"Thu, Nov 5",70,44,18,31,5,
Amarillo,"Fri, Nov 6",69,46,14,25,5,
Greenville,"Fri, Oct 23",74,51,16,72,99,0.63
Greenville,"Sat, Oct 24",61,49,4,60,4,
Greenville,"Sun, Oct 25",76,54,14,61,45,0.03
Greenville,"Mon, Oct 26",70,44,14,74,79,0.38
Greenville,"Tue, Oct 27",46,42,10,79,90,0.94
Greenville,"Wed, Oct 28",55,45,9,80,99,2.35
Greenville,"Thu, Oct 29",63,43,13,59,60,0.06
Greenville,"Fri, Oct 30",65,42,6,56,3,
Greenville,"Sat, Oct 31",66,48,6,49,2,
Greenville,"Sun, Nov 1",71,50,10,64,5,
Greenville,"Mon, Nov 2",72,50,3,43,3,
Greenville,"Tue, Nov 3",72,50,5,55,5,
Greenville,"Wed, Nov 4",73,50,7,58,5,
Greenville,"Thu, Nov 5",73,50,9,59,4,
