city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Hurricane,"Fri, Oct 23",76,50,8,22,0,
Hurricane,"Sat, Oct 24",75,52,10,31,1,
Hurricane,"Sun, Oct 25",62,41,14,33,1,
Hurricane,"Mon, Oct 26",48,29,14,25,1,
Hurricane,"Tue, Oct 27",60,34,8,26,1,
Hurricane,"Wed, Oct 28",70,40,8,18,1,
Hurricane,"Thu, Oct 29",72,44,4,8,1,
Hurricane,"Fri, Oct 30",75,45,6,9,2,
Hurricane,"Sat, Oct 31",76,42,4,14,4,
Hurricane,"Sun, Nov 1",75,52,6,18,5,
Hurricane,"Mon, Nov 2",72,53,5,18,6,
Hurricane,"Tue, Nov 3",74,53,7,22,5,
Hurricane,"Wed, Nov 4",74,54,3,29,5,
Hurricane,"Thu, Nov 5",74,53,8,24,5,
Hurricane,"Fri, Nov 6",71,51,5,20,2,
Ogden,"Fri, Oct 23",51,31,5,22,1,
Ogden,"Sat, Oct 24",57,40,7,33,52,0.04
Ogden,"Sun, Oct 25",42,19,9,37,3,
Ogden,"Mon, Oct 26",37,14,5,22,1,
Ogden,"Tue, Oct 27",48,23,7,29,1,
Ogden,"Wed, Oct 28",56,32,5,26,3,
Ogden,"Thu, Oct 29",63,39,4,23,3,
Ogden,"Fri, Oct 30",69,40,10,11,4,
Ogden,"Sat, Oct 31",63,44,4,15,4,
Ogden,"Sun, Nov 1",64,42,3,23,3,
Ogden,"Mon, Nov 2",63,42,4,22,4,
Ogden,"Tue, Nov 3",65,42,4,22,3,
Ogden,"Wed, Nov 4",65,43,3,24,3,
Ogden,"Thu, Nov 5",61,43,4,29,4,
Ogden,"Fri, Nov 6",61,43,3,22,3,
Salt Lake City,"Fri, Oct 23",53,31,6,24,1,
Salt Lake City,"Sat, Oct 24",64,40,11,26,62,0.02
Salt Lake City,"Sun, Oct 25",43,22,10,41,54,0.01
Salt Lake City,"Mon, Oct 26",38,17,7,29,1,
Salt Lake City,"Tue, Oct 27",48,25,6,24,1,
Salt Lake City,"Wed, Oct 28",58,33,5,24,3,
Salt Lake City,"Thu, Oct 29",63,45,2,19,2,
Salt Lake City,"Fri, Oct 30",67,43,13,9,3,
Salt Lake City,"Sat, Oct 31",61,49,5,16,4,
Salt Lake City,"Sun, Nov 1",61,44,4,21,4,
Salt Lake City,"Mon, Nov 2",61,44,6,22,5,
Salt Lake City,"Tue, Nov 3",63,44,6,27,3,
Salt Lake City,"Wed, Nov 4",62,45,4,25,5,
Salt Lake City,"Thu, Nov 5",62,45,3,30,6,
Salt Lake City,"Fri, Nov 6",63,46,2,19,2,
Kanab,"Fri, Oct 23",74,39,11,24,0,
Kanab,"Sat, Oct 24",73,40,18,27,1,
Kanab,"Sun, Oct 25",64,41,15,31,3,
Kanab,"Mon, Oct 26",43,25,11,26,4,
Kanab,"Tue, Oct 27",52,24,7,29,1,
Kanab,"Wed, Oct 28",67,31,6,22,1,
Kanab,"Thu, Oct 29",73,31,4,9,1,
Kanab,"Fri, Oct 30",73,34,7,10,2,
Kanab,"Sat, Oct 31",69,35,6,16,4,
Kanab,"Sun, Nov 1",70,38,14,20,4,
Kanab,"Mon, Nov 2",67,39,9,21,6,
Kanab,"Tue, Nov 3",67,39,12,24,6,
Kanab,"Wed, Nov 4",67,39,7,28,6,
Kanab,"Thu, Nov 5",67,39,11,24,5,
