city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Hampton,"Fri, Oct 23",71,62,7,75,1,
Hampton,"Sat, Oct 24",76,61,7,69,84,0.32
Hampton,"Sun, Oct 25",66,60,12,81,84,0.33
Hampton,"Mon, Oct 26",69,62,5,79,52,0.02
Hampton,"Tue, Oct 27",70,62,8,76,5,
Hampton,"Wed, Oct 28",68,61,9,80,47,0.01
Hampton,"Thu, Oct 29",70,62,9,98,99,1.47
Hampton,"Fri, Oct 30",65,55,21,78,68,0.15
Hampton,"Sat, Oct 31",58,47,17,60,5,
Hampton,"Sun, Nov 1",60,51,4,80,49,0.02
Hampton,"Mon, Nov 2",60,51,26,69,50,0.04
Hampton,"Tue, Nov 3",59,50,9,63,6,
Hampton,"Wed, Nov 4",60,48,21,53,6,
Hampton,"Thu, Nov 5",58,50,12,39,4,
Hampton,"Fri, Nov 6",68,50,9,59,3,
Alexandria,"Fri, Oct 23",76,62,8,62,4,
Alexandria,"Sat, Oct 24",75,57,10,59,67,0.04
Alexandria,"Sun, Oct 25",56,49,7,67,62,0.11
Alexandria,"Mon, Oct 26",69,50,8,68,6,
Alexandria,"Tue, Oct 27",61,55,6,73,57,0.08
Alexandria,"Wed, Oct 28",61,54,7,71,56,0.01
Alexandria,"Thu, Oct 29",60,55,6,92,78,0.58
Alexandria,"Fri, Oct 30",63,53,8,61,70,0.35
Alexandria,"Sat, Oct 31",57,45,5,37,4,
Alexandria,"Sun, Nov 1",59,44,4,61,6,
Alexandria,"Mon, Nov 2",60,48,11,49,6,
Alexandria,"Tue, Nov 3",60,47,4,51,5,
Alexandria,"Wed, Nov 4",54,47,12,41,5,
Alexandria,"Thu, Nov 5",56,45,10,42,5,
Alexandria,"Fri, Nov 6",63,47,4,41,4,
Petersburg,"Fri, Oct 23",75,58,5,63,1,
Petersburg,"Sat, Oct 24",80,58,6,63,84,0.31
Petersburg,"Sun, Oct 25",61,52,7,76,85,0.31
Petersburg,"Mon, Oct 26",71,51,6,69,6,
Petersburg,"Tue, Oct 27",68,56,7,71,39,0.0
Petersburg,"Wed, Oct 28",68,55,6,73,56,0.02
Petersburg,"Thu, Oct 29",69,60,5,99,99,1.66
Petersburg,"Fri, Oct 30",65,50,9,69,58,0.09
Petersburg,"Sat, Oct 31",60,43,7,52,4,
Petersburg,"Sun, Nov 1",63,41,3,69,6,
Petersburg,"Mon, Nov 2",60,45,11,54,6,
Petersburg,"Tue, Nov 3",62,41,4,56,5,
Petersburg,"Wed, Nov 4",58,41,9,53,6,
Petersburg,"Thu, Nov 5",57,42,7,43,4,
Petersburg,"Fri, Nov 6",70,39,5,53,4,
Broadway,"Fri, Oct 23",76,52,8,58,3,
Broadway,"Sat, Oct 24",71,53,6,65,73,0.16
Broadway,"Sun, Oct 25",51,44,6,78,63,0.07
Broadway,"Mon, Oct 26",70,44,8,70,41,0.0
Broadway,"Tue, Oct 27",60,52,6,86,64,0.04
Broadway,"Wed, Oct 28",64,50,5,71,52,0.04
Broadway,"Thu, Oct 29",60,53,7,98,74,0.41
Broadway,"Fri, Oct 30",64,47,11,59,62,0.18
Broadway,"Sat, Oct 31",58,36,4,49,4,
Broadway,"Sun, Nov 1",57,34,3,67,6,
Broadway,"Mon, Nov 2",57,39,12,60,49,0.01
Broadway,"Tue, Nov 3",61,37,3,58,5,
Broadway,"Wed, Nov 4",52,40,12,50,6,
Broadway,"Thu, Nov 5",58,39,12,43,5,
Broadway,"Fri, Nov 6",65,40,5,53,4,
Harrisonburg,"Fri, Oct 23",76,52,8,57,3,
Harrisonburg,"Sat, Oct 24",72,54,6,66,64,0.13
Harrisonburg,"Sun, Oct 25",52,44,7,76,63,0.08
Harrisonburg,"Mon, Oct 26",69,45,9,69,6,
Harrisonburg,"Tue, Oct 27",62,51,8,82,58,0.04
Harrisonburg,"Wed, Oct 28",66,50,7,67,56,0.04
Harrisonburg,"Thu, Oct 29",62,54,6,98,83,0.56
Harrisonburg,"Fri, Oct 30",65,47,9,57,62,0.17
Harrisonburg,"Sat, Oct 31",58,36,4,48,4,
Harrisonburg,"Sun, Nov 1",59,34,4,66,52,0.01
Harrisonburg,"Mon, Nov 2",57,40,12,59,57,0.03
Harrisonburg,"Tue, Nov 3",61,38,3,58,6,
Harrisonburg,"Wed, Nov 4",52,40,10,48,6,
Harrisonburg,"Thu, Nov 5",58,36,12,41,5,
Harrisonburg,"Fri, Nov 6",65,40,5,50,3,
Portsmouth,"Fri, Oct 23",73,61,7,67,1,
Portsmouth,"Sat, Oct 24",79,59,7,62,81,0.28
Portsmouth,"Sun, Oct 25",65,61,10,83,84,0.43
Portsmouth,"Mon, Oct 26",74,62,6,71,51,0.01
Portsmouth,"Tue, Oct 27",73,60,8,68,4,
Portsmouth,"Wed, Oct 28",72,61,7,75,42,0.01
Portsmouth,"Thu, Oct 29",72,65,7,95,99,1.23
Portsmouth,"Fri, Oct 30",67,57,15,74,64,0.14
Portsmouth,"Sat, Oct 31",60,51,13,52,5,
Portsmouth,"Sun, Nov 1",64,54,3,72,51,0.08
Portsmouth,"Mon, Nov 2",61,54,19,61,55,0.06
Portsmouth,"Tue, Nov 3",61,51,7,58,6,
Portsmouth,"Wed, Nov 4",62,51,15,48,41,0.0
Portsmouth,"Thu, Nov 5",59,48,9,36,4,
Portsmouth,"Fri, Nov 6",69,48,8,52,3,
Charlottesville,"Fri, Oct 23",79,57,7,58,3,
Charlottesville,"Sat, Oct 24",80,59,6,62,65,0.21
Charlottesville,"Sun, Oct 25",57,49,7,72,69,0.1
Charlottesville,"Mon, Oct 26",72,49,7,65,6,
Charlottesville,"Tue, Oct 27",67,55,6,69,52,0.05
Charlottesville,"Wed, Oct 28",68,53,6,65,51,0.0
Charlottesville,"Thu, Oct 29",63,55,5,99,99,1.31
Charlottesville,"Fri, Oct 30",67,47,6,54,61,0.04
Charlottesville,"Sat, Oct 31",56,40,5,50,3,
Charlottesville,"Sun, Nov 1",58,35,3,65,53,0.01
Charlottesville,"Mon, Nov 2",60,42,8,53,59,0.02
Charlottesville,"Tue, Nov 3",63,39,2,51,4,
Charlottesville,"Wed, Nov 4",56,40,8,48,6,
Charlottesville,"Thu, Nov 5",57,37,10,45,5,
Charlottesville,"Fri, Nov 6",68,40,4,51,3,
Haymarket,"Fri, Oct 23",76,56,8,65,4,
Haymarket,"Sat, Oct 24",73,54,10,64,57,0.07
Haymarket,"Sun, Oct 25",53,46,7,73,70,0.12
Haymarket,"Mon, Oct 26",69,46,8,67,6,
Haymarket,"Tue, Oct 27",57,47,7,77,61,0.07
Haymarket,"Wed, Oct 28",61,48,5,72,52,0.0
Haymarket,"Thu, Oct 29",60,51,7,96,79,0.55
Haymarket,"Fri, Oct 30",62,48,9,66,70,0.33
Haymarket,"Sat, Oct 31",55,38,5,51,4,
Haymarket,"Sun, Nov 1",55,37,4,64,6,
Haymarket,"Mon, Nov 2",58,40,11,61,6,
Haymarket,"Tue, Nov 3",59,39,4,62,6,
Haymarket,"Wed, Nov 4",52,42,13,52,6,
Haymarket,"Thu, Nov 5",54,42,10,51,5,
Haymarket,"Fri, Nov 6",64,40,4,55,4,
Reston,"Fri, Oct 23",75,60,8,63,3,
Reston,"Sat, Oct 24",73,55,10,62,71,0.04
Reston,"Sun, Oct 25",54,47,7,70,62,0.15
Reston,"Mon, Oct 26",68,47,8,67,5,
Reston,"Tue, Oct 27",59,50,7,74,62,0.06
Reston,"Wed, Oct 28",61,49,7,68,52,0.0
Reston,"Thu, Oct 29",60,52,6,92,80,0.52
Reston,"Fri, Oct 30",63,49,9,67,74,0.42
Reston,"Sat, Oct 31",55,40,5,45,4,
Reston,"Sun, Nov 1",56,40,4,57,6,
Reston,"Mon, Nov 2",58,42,11,57,6,
Reston,"Tue, Nov 3",59,41,4,56,6,
Reston,"Wed, Nov 4",52,43,14,48,6,
Reston,"Thu, Nov 5",55,42,10,44,5,
Reston,"Fri, Nov 6",64,43,4,44,5,
Chesapeake,"Fri, Oct 23",74,58,6,66,1,
Chesapeake,"Sat, Oct 24",80,56,7,61,67,0.14
Chesapeake,"Sun, Oct 25",64,60,9,84,94,0.67
Chesapeake,"Mon, Oct 26",75,61,4,70,53,0.02
Chesapeake,"Tue, Oct 27",74,59,7,72,4,
Chesapeake,"Wed, Oct 28",73,61,6,78,6,
Chesapeake,"Thu, Oct 29",72,66,6,95,99,1.28
Chesapeake,"Fri, Oct 30",67,55,12,75,64,0.13
Chesapeake,"Sat, Oct 31",60,51,10,52,5,
Chesapeake,"Sun, Nov 1",64,52,4,73,62,0.22
Chesapeake,"Mon, Nov 2",59,52,15,60,62,0.16
Chesapeake,"Tue, Nov 3",62,49,5,59,6,
Chesapeake,"Wed, Nov 4",61,48,11,51,6,
Chesapeake,"Thu, Nov 5",59,47,7,39,4,
Chesapeake,"Fri, Nov 6",69,44,7,52,3,
Leesburg,"Fri, Oct 23",75,56,9,68,4,
Leesburg,"Sat, Oct 24",71,53,11,65,72,0.03
Leesburg,"Sun, Oct 25",52,44,6,75,64,0.13
Leesburg,"Mon, Oct 26",67,42,8,74,5,
Leesburg,"Tue, Oct 27",54,45,7,82,61,0.04
Leesburg,"Wed, Oct 28",59,45,7,74,6,
Leesburg,"Thu, Oct 29",58,50,8,95,80,0.39
Leesburg,"Fri, Oct 30",62,47,10,67,72,0.37
Leesburg,"Sat, Oct 31",55,37,5,51,4,
Leesburg,"Sun, Nov 1",55,37,4,65,6,
Leesburg,"Mon, Nov 2",58,38,11,63,6,
Leesburg,"Tue, Nov 3",59,38,5,61,6,
Leesburg,"Wed, Nov 4",51,40,16,53,6,
Leesburg,"Thu, Nov 5",54,42,10,53,6,
Leesburg,"Fri, Nov 6",64,41,5,55,5,
Richmond,"Fri, Oct 23",76,60,7,60,2,
Richmond,"Sat, Oct 24",81,61,7,60,68,0.2
Richmond,"Sun, Oct 25",60,52,8,74,92,0.75
Richmond,"Mon, Oct 26",71,52,7,66,6,
Richmond,"Tue, Oct 27",68,59,8,68,49,0.04
Richmond,"Wed, Oct 28",67,58,7,72,71,0.02
Richmond,"Thu, Oct 29",67,60,5,97,99,1.3
Richmond,"Fri, Oct 30",65,51,10,61,62,0.07
Richmond,"Sat, Oct 31",58,44,7,45,4,
Richmond,"Sun, Nov 1",61,43,4,58,6,
Richmond,"Mon, Nov 2",59,47,12,47,6,
Richmond,"Tue, Nov 3",61,45,4,47,5,
Richmond,"Wed, Nov 4",57,45,11,42,6,
Richmond,"Thu, Nov 5",56,46,9,38,4,
Richmond,"Fri, Nov 6",68,44,5,42,4,
Chincoteague,"Fri, Oct 23",69,63,8,84,1,
Chincoteague,"Sat, Oct 24",72,61,8,78,65,0.04
Chincoteague,"Sun, Oct 25",62,55,14,83,92,0.61
Chincoteague,"Mon, Oct 26",69,61,8,84,59,0.02
Chincoteague,"Tue, Oct 27",64,60,12,89,51,0.04
Chincoteague,"Wed, Oct 28",64,57,9,88,53,0.03
Chincoteague,"Thu, Oct 29",64,60,11,98,99,1.72
Chincoteague,"Fri, Oct 30",62,54,16,79,63,0.2
Chincoteague,"Sat, Oct 31",56,45,14,64,5,
Chincoteague,"Sun, Nov 1",60,51,3,72,38,0.0
Chincoteague,"Mon, Nov 2",57,51,22,71,50,0.07
Chincoteague,"Tue, Nov 3",56,46,11,59,6,
Chincoteague,"Wed, Nov 4",55,43,19,58,39,0.0
Chincoteague,"Thu, Nov 5",55,46,14,50,4,
Chincoteague,"Fri, Nov 6",62,49,7,54,4,
Lexington,"Fri, Oct 23",78,54,7,60,4,
Lexington,"Sat, Oct 24",77,57,7,65,57,0.07
Lexington,"Sun, Oct 25",58,49,6,82,74,0.18
Lexington,"Mon, Oct 26",71,49,7,78,6,
Lexington,"Tue, Oct 27",71,58,7,75,52,0.04
Lexington,"Wed, Oct 28",70,56,7,73,53,0.02
Lexington,"Thu, Oct 29",64,60,3,99,99,1.3
Lexington,"Fri, Oct 30",66,49,6,50,58,0.04
Lexington,"Sat, Oct 31",60,39,4,46,3,
Lexington,"Sun, Nov 1",58,38,3,67,54,0.07
Lexington,"Mon, Nov 2",57,46,8,55,74,0.3
Lexington,"Tue, Nov 3",60,42,5,55,5,
Lexington,"Wed, Nov 4",56,42,11,51,6,
Lexington,"Thu, Nov 5",57,35,7,43,4,
Lexington,"Fri, Nov 6",66,43,4,44,3,
Roanoke,"Fri, Oct 23",77,55,6,61,40,0.0
Roanoke,"Sat, Oct 24",77,61,7,62,63,0.06
Roanoke,"Sun, Oct 25",62,49,6,86,85,0.32
Roanoke,"Mon, Oct 26",72,49,6,74,6,
Roanoke,"Tue, Oct 27",72,60,5,78,57,0.04
